intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Responsable Sûreté,Dakar,2026-01-29,2026-01-01,CDD,Industries Chimiques Du Senegal,goafricaonline.com,BTP & Industrie,"communication, finance, rh",10-15,10.0,15.0
Réceptionniste,Dakar,2026-01-29,2026-01-01,CDD,Leader Interim et Services,goafricaonline.com,RH & Recrutement,,Non spécifié,,
Chauffeur poids lourds,Dakar,2026-01-29,2026-01-01,Stage,AGROPONIC,goafricaonline.com,Agriculture & Agroalimentaire,,5,5.0,5.0
Technicien agricole,Dakar,2026-01-29,2026-01-01,CDD,AGROPONIC,goafricaonline.com,Agriculture & Agroalimentaire,,5,5.0,5.0
Chargé·e de projet,Dakar,2026-01-29,2026-01-01,CDD,A Propositic Di Altri Mondi (Apdam),goafricaonline.com,ONG & Humanitaire,"finance, gestion de projet, data analyse",Non spécifié,,
Assistant·e administratif·ve,Dakar,2026-01-29,2026-01-01,CDD,A Propositic Di Altri Mondi (Apdam),goafricaonline.com,ONG & Humanitaire,"finance, logistique, gestion de projet",Non spécifié,,
Regional Food Security & Livelihood Adviso,Dakar,2026-01-29,2026-01-01,CDD,WORLD VISION SENEGAL,goafricaonline.com,ONG & Humanitaire,finance,12,12.0,12.0
Regional Sales Specialist UC/GET,Dakar,2026-01-29,2026-01-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente",10,10.0,10.0
Journalistes vidéo,Dakar,2026-01-29,2026-01-01,CDD,Ecofinance.Sn Groupe Gaye Media,goafricaonline.com,Marketing & Communication,"marketing, vente, communication, finance, data analyse, rh, gestion de projet",Non spécifié,,
Ingénieur électromécanique,Dakar,2026-01-29,2026-01-01,CDD,TOPWORK SENEGAL,goafricaonline.com,RH & Recrutement,gestion de projet,15,15.0,15.0
"Manager product, services & devices",Dakar,2026-01-29,2026-01-01,CDI,YAS SENEGAL,goafricaonline.com,Marketing & Communication,,Non spécifié,,
Specialist BI & analytics,Dakar,2026-01-29,2026-01-01,CDI,YAS SENEGAL,goafricaonline.com,Marketing & Communication,non spécifié,Non spécifié,,
Specialist market insight & geomarketing,Dakar,2026-01-29,2026-01-01,CDI,YAS SENEGAL,goafricaonline.com,Marketing & Communication,marketing,Non spécifié,,
Specialist CVM Commercial,Dakar,2026-01-29,2026-01-01,CDI,YAS SENEGAL,goafricaonline.com,Marketing & Communication,vente,Non spécifié,,
